algorithm,population_size,eta_c,eta_m,crossover_prob,hv_median,hv_mean,hv_std,hv_min,hv_max,elapsed_mean_s,hv_norm,hv_norm_std
SPEA2,100,24.423104160361927,5.152467616967222,0.9948366413241376,5874158.2043991685,5811423.501940697,149380.36025627964,5605356.391478574,5954755.909944351,88.2451384862264,104.98758116083832,2.669843431267536
SPEA2,100,25.720840158939488,5.203406627192466,0.9722994385847553,5862339.991415198,5851207.17216485,100166.87590907713,5723341.335739176,5967940.189340177,86.30638980865479,104.7763567518836,1.7902612848009771
SPEA2,100,25.811066020010543,10.308477766956905,0.7545474901621302,5839832.271168145,5802782.968316562,154245.29810115587,5598091.913240351,5970424.720541187,80.7424927552541,104.37408105144142,2.756793431430771
SPEA2,100,6.452090304204987,26.654403644373378,0.8803345035229626,5820270.822984524,5780398.062118889,69130.45487281708,5683156.106905867,5837767.256466277,84.99401672681172,104.02446344542199,1.2355539277457905
SPEA2,100,29.175420436779532,5.1499295738954345,0.9908611332363597,5808955.522522741,5879020.660042762,122068.06575065912,5777418.400181418,6050688.057424123,87.12734007835388,103.82222748509305,2.181696596211219
SPEA2,100,13.690835762414565,15.321601649471196,0.9676232208289579,5806606.309478108,5793615.977678643,31326.480973527712,5750440.284586924,5823801.338970897,87.83564392725627,103.78024049962119,0.5598915366679502
SPEA2,100,14.363502971184062,28.767857660247905,0.9195981825434215,5779806.258583474,5704996.887195658,129416.57048076953,5522935.222627844,5812249.180375657,85.10354439417522,103.30124888575764,2.313034859485349
SPEA2,100,10.678475291271965,21.275395079289865,0.8369630069952888,5755085.526207087,5668857.38949911,173644.16960864744,5426615.277443293,5824871.364846953,83.47951237360637,102.85942048985613,3.103505339069929
SPEA2,100,9.585112746335845,12.606056073988443,0.8574269294896714,5753833.194527884,5812596.374805464,205650.76934155257,5595303.027265318,6088652.902623191,82.36398967107137,102.83703783191,3.6755524937795707
SPEA2,100,8.487346516301045,12.303616213380455,0.8099085529881075,5751251.063911093,5823952.608157917,142842.9366418538,5697079.5434167385,6023527.217145919,80.17415499687195,102.7908879601726,2.553001448396134
SPEA2,100,21.549524908560308,15.858906793910284,0.9405879418181762,5713062.777679181,5778289.683306135,101020.18699245228,5700827.228870413,5920979.043368812,87.15463209152222,102.10835683645114,1.8055123324411646
SPEA2,100,17.85586096034029,19.810364221551062,0.7139351238159993,5708916.363019683,5695909.9862372205,68698.23897365038,5606026.358417033,5772787.237274943,78.91400567690532,102.03424884847348,1.227829024838207
SPEA2,100,15.798625466052894,12.280728504951048,0.8835558684167139,5690316.277174907,5712364.707885253,31668.419175050913,5689628.98859922,5757148.85788163,83.08597461382548,101.70181346721925,0.5660029254721406
SPEA2,100,19.966462104925917,8.900466011060914,0.7467983561008608,5620646.112120964,5722878.520185483,197330.32401606019,5549116.3432639,5998873.105171587,79.96750330924988,100.45661341411002,3.526842942809314
SPEA2,100,27.567985584995945,17.190441337226964,0.9112643516160585,5600667.923835578,5601017.0643857615,12739.393296714084,5585592.05812783,5616791.21119388,84.36855506896973,100.09954750082093,0.22768846890725034
SPEA2,100,16.4017496054259,24.62939903482534,0.7599021346475079,5522622.262027455,5570003.024904199,140981.8090000063,5425973.09396126,5761413.718723883,81.8976051012675,98.7046539742565,2.5197379095961723
