timestep,demand_kw,effective_demand_kw,battery_soc,battery_charged_kw,curtailed_energy_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
62,85.4367,85.4366,0.05,0.0,0.0,0.15251,32.4381,0.129634,32.4381,32.4381,0.0,4.205081,90.6211,0.129634,52.9985,52.9985,0.0,6.870408,0.0,5e-06,11.075493,100.0,honest,honest
63,85.406,85.406,0.05,0.0,0.0,0.15829,7.4732,0.134546,7.4732,7.4732,0.0,1.005489,90.0606,0.134546,77.9328,77.9328,0.0,10.485547,0.0,3e-06,11.491039,100.0,honest,honest
64,109.2672,109.2672,0.05,0.0,0.0,0.1763,1.8111,0.149855,1.8111,1.8111,0.0,0.271402,89.531,0.149855,89.531,89.531,0.0,13.416668,17.9251,3.160204,16.848274,83.6,honest,honest
65,114.5801,114.5801,0.05,0.0,0.0,0.19842,0.7397,0.168657,0.7397,0.7397,0.0,0.124756,89.2851,0.168657,89.2851,89.2851,0.0,15.058557,24.5553,4.87226,20.055572,78.57,honest,honest
66,114.5966,114.5966,0.05,0.0,0.0,0.26973,2.6519,0.229271,2.6519,2.6519,0.0,0.608004,88.1526,0.229271,88.1526,88.1526,0.0,20.210835,23.7921,6.417451,27.23629,79.24,honest,honest
67,95.8436,95.8436,0.05,0.0,0.0,0.27139,0.9271,0.230682,0.9271,0.9271,0.0,0.213865,86.8812,0.230682,86.8812,86.8812,0.0,20.041929,8.0353,2.180704,22.436499,91.62,honest,honest
68,95.8187,95.8187,0.05,0.0,0.0,0.27165,0.1338,0.230902,0.1338,0.1338,0.0,0.030895,85.7171,0.230902,85.7171,85.7171,0.0,19.79225,9.9678,2.707751,22.530895,89.6,honest,honest
69,95.7218,95.7218,0.05,0.0,0.0,0.27022,0.0628,0.229687,0.0628,0.0628,0.0,0.014424,84.8917,0.229687,84.8917,84.8917,0.0,19.49852,10.7673,2.90953,22.422475,88.75,honest,honest
70,95.7074,95.7074,0.05,0.0,0.0,0.20114,0.0211,0.170969,0.0211,0.0211,0.0,0.003607,83.6504,0.170969,83.6504,83.6504,0.0,14.301625,12.0359,2.420894,16.726127,87.42,honest,honest
71,97.7317,97.7317,0.05,0.0,0.0,0.19338,0.4354,0.164373,0.4354,0.4354,0.0,0.071568,81.1901,0.164373,81.1901,81.1901,0.0,13.34546,16.1062,3.114616,16.531644,83.52,honest,honest
