timestep,demand_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct
480,22.3364,0.1618,0.0,0.13753,0.0,0.0,0.0,0.0,35.8807,0.13753,22.3364,22.3364,0.0,3.071925,0.0,0.0,3.071925,100.0
481,14.6358,0.15653,0.0,0.125224,0.0,0.0,0.0,0.0,9.8942,0.148703,9.8942,9.8942,0.0,1.471297,4.7416,0.742201,2.213498,67.6
482,14.657,0.15011,0.0,0.142604,0.0,0.0,0.0,0.0,15.5995,0.142604,14.657,14.657,0.0,2.090147,0.0,0.0,2.090147,100.0
483,14.671,0.13937,0.0,0.118464,0.0,0.0,0.0,0.0,9.9378,0.111496,9.9378,7.6444,2.2934,0.85232,7.0266,0.979302,1.831622,52.11
484,14.8231,0.13761,0.0,0.110088,0.0,0.0,0.0,0.0,9.1757,0.110088,9.1757,7.0582,2.1175,0.777023,7.7649,1.068531,1.845554,47.62
485,22.4554,0.14558,0.0,0.138301,0.0,0.0,0.0,0.0,7.5551,0.138301,7.5551,7.5551,0.0,1.044878,14.9003,2.169191,3.214069,33.64
486,38.4138,0.16282,0.0,0.130256,0.0,0.0,0.0,0.0,4.9221,0.154679,4.9221,4.9221,0.0,0.761346,33.4917,5.453122,6.214468,12.81
487,44.8232,0.16928,0.0,0.160816,0.0,0.0,0.0,0.0,11.3829,0.143888,11.3829,11.3829,0.0,1.637863,33.4403,5.660773,7.298636,25.4
488,41.6551,0.20791,0.0,0.166328,0.0,0.0,0.0,0.0,9.0154,0.176724,9.0154,9.0154,0.0,1.593238,32.6397,6.786115,8.379353,21.64
489,34.1744,0.20295,0.1701,0.192802,0.1701,0.1701,0.0,0.032796,9.0841,0.172507,9.0841,9.0841,0.0,1.567071,24.9202,5.057553,6.65742,27.08
490,41.6721,0.25905,3.0866,0.220192,3.0866,3.0866,0.0,0.679645,9.8461,0.220192,9.8461,9.8461,0.0,2.168032,28.7394,7.444941,10.292619,31.03
491,42.4338,0.25712,100.0373,0.205696,42.4338,42.4338,0.0,8.728463,12.5262,0.218552,0.0,0.0,0.0,0.0,0.0,1e-05,8.728473,100.0
492,41.7069,0.25372,115.7996,0.202976,41.7069,41.7069,0.0,8.4655,11.9234,0.215662,0.0,0.0,0.0,0.0,0.0,3e-06,8.465503,100.0
493,34.1781,0.25048,96.2457,0.200384,34.1781,34.1781,0.0,6.848744,10.4138,0.212908,0.0,0.0,0.0,0.0,0.0,9e-06,6.848754,100.0
494,34.1776,0.17912,108.7797,0.152252,34.1776,34.1776,0.0,5.203608,6.8825,0.170164,0.0,0.0,0.0,0.0,0.0,8e-06,5.203616,100.0
495,34.1647,0.17717,43.0004,0.150594,34.1647,34.1647,0.0,5.144999,11.9371,0.150594,0.0,0.0,0.0,0.0,0.0,0.0,5.144999,100.0
496,42.6463,0.18972,3.5974,0.161262,3.5974,3.5974,0.0,0.580124,5.8086,0.180234,5.8086,5.8086,0.0,1.046907,33.2403,6.306342,7.933373,22.06
497,45.8274,0.1919,0.0711,0.182305,0.0711,0.0711,0.0,0.012962,8.9398,0.15352,8.9398,6.8768,2.063,1.055726,38.8795,7.460978,8.529666,15.16
498,45.8317,0.26212,0.1739,0.249014,0.1739,0.1739,0.0,0.043304,5.813,0.249014,5.813,5.813,0.0,1.447518,39.8448,10.444129,11.934951,13.06
499,38.4742,0.27825,1.2067,0.264338,1.2067,1.2067,0.0,0.318977,11.9779,0.236512,11.9779,11.9779,0.0,2.832917,25.2896,7.036838,10.188732,34.27
