datetime;generacion_mwh;precio_base_eur_mwh;multiplicador;precio_eur_mwh
2025-06-27T02:00:00+02:00;3985.753;136.52;1.0998;150.149
2025-06-27T03:00:00+02:00;3565.069;133.63;1.1164;149.181
2025-06-27T04:00:00+02:00;3103.407;133.11;1.1345;151.017
2025-06-27T05:00:00+02:00;2749.479;133.79;1.1484;153.651
2025-06-27T06:00:00+02:00;2443.111;137.48;1.1605;159.545
2025-06-27T07:00:00+02:00;2310.838;137.96;1.1657;160.82
2025-06-27T08:00:00+02:00;1956.955;158.83;1.1796;187.359
2025-06-27T09:00:00+02:00;1586.362;141.41;1.1942;168.871
2025-06-27T10:00:00+02:00;1365.125;190.52;1.2;228.624
2025-06-27T11:00:00+02:00;1450.147;177.93;1.1995;213.436
2025-06-27T12:00:00+02:00;1512.591;164.12;1.1971;196.467
2025-06-27T13:00:00+02:00;1733.05;142.6;1.1884;169.469
2025-06-27T14:00:00+02:00;1822.591;77.33;1.1849;91.628
2025-06-27T15:00:00+02:00;2047.952;75.54;1.176;88.838
2025-06-27T16:00:00+02:00;2400.433;78.29;1.1622;90.987
2025-06-27T17:00:00+02:00;2629.332;114.98;1.1532;132.592
2025-06-27T18:00:00+02:00;3005.971;201.91;1.1384;229.847
2025-06-27T19:00:00+02:00;3475.493;224.24;1.1199;251.125
2025-06-27T20:00:00+02:00;4059.132;231.53;1.0969;253.975
2025-06-27T21:00:00+02:00;4749.032;258.91;1.0698;276.984
2025-06-27T22:00:00+02:00;5462.527;190.71;1.0417;198.672
2025-06-27T23:00:00+02:00;6133.724;165.14;1.0154;167.675
2025-06-28T00:00:00+02:00;5956.653;147.6;1.0223;150.894
2025-06-28T01:00:00+02:00;6145.131;149.38;1.0149;151.606
2025-06-28T02:00:00+02:00;5841.542;144.83;1.0268;148.718
2025-06-28T03:00:00+02:00;4990.985;141.32;1.0603;149.841
2025-06-28T04:00:00+02:00;4069.764;140.23;1.0965;153.766
2025-06-28T05:00:00+02:00;3481.291;140.73;1.1197;157.571
2025-06-28T06:00:00+02:00;2879.887;140.63;1.1433;160.785
2025-06-28T07:00:00+02:00;2597.807;148.27;1.1544;171.165
2025-06-28T08:00:00+02:00;1991.14;127.63;1.1783;150.383
2025-06-28T09:00:00+02:00;1392.396;49.72;1.2;59.664
2025-06-28T10:00:00+02:00;1233.99;28.86;1.2;34.632
2025-06-28T11:00:00+02:00;1224.605;22.51;1.2;27.012
2025-06-28T12:00:00+02:00;1470.387;21.93;1.1988;26.289
2025-06-28T13:00:00+02:00;1775.945;21.53;1.1867;25.55
2025-06-28T14:00:00+02:00;2018.966;21.57;1.1772;25.392
2025-06-28T15:00:00+02:00;2223.059;21.66;1.1692;25.324
2025-06-28T16:00:00+02:00;2586.027;23.42;1.1549;27.047
2025-06-28T17:00:00+02:00;2705.801;33.86;1.1502;38.945
2025-06-28T18:00:00+02:00;3209.309;74.95;1.1304;84.721
2025-06-28T19:00:00+02:00;3633.581;136.7;1.1137;152.24
2025-06-28T20:00:00+02:00;4462.217;144.61;1.0811;156.336
2025-06-28T21:00:00+02:00;5169.166;168.41;1.0533;177.384
2025-06-28T22:00:00+02:00;5715.177;169.8;1.0318;175.202
2025-06-28T23:00:00+02:00;5787.932;150.07;1.029;154.415
2025-06-29T00:00:00+02:00;5894.357;144.36;1.0248;147.935
2025-06-29T01:00:00+02:00;5775.252;141.8;1.0294;145.976
2025-06-29T02:00:00+02:00;4986.291;141.97;1.0605;150.556
2025-06-29T03:00:00+02:00;4196.286;141.6;1.0915;154.563
2025-06-29T04:00:00+02:00;3403.187;143.04;1.1227;160.597
2025-06-29T05:00:00+02:00;2905.07;144.56;1.1423;165.135
2025-06-29T06:00:00+02:00;2503.638;146.95;1.1581;170.185
2025-06-29T07:00:00+02:00;2243.274;146.61;1.1684;171.293
2025-06-29T08:00:00+02:00;1798.771;120.48;1.1858;142.87
2025-06-29T09:00:00+02:00;1269.671;49.54;1.2;59.448
2025-06-29T10:00:00+02:00;1077.756;28.87;1.2;34.644
2025-06-29T11:00:00+02:00;1119.322;29.32;1.2;35.184
2025-06-29T12:00:00+02:00;1464.024;28.63;1.199;34.327
2025-06-29T13:00:00+02:00;1592.476;30.62;1.194;36.559
2025-06-29T14:00:00+02:00;1768.303;30.81;1.187;36.573
2025-06-29T15:00:00+02:00;2006.081;31.18;1.1777;36.72
2025-06-29T16:00:00+02:00;2780.064;32.23;1.1472;36.976
2025-06-29T17:00:00+02:00;3570.414;49.3;1.1162;55.027
2025-06-29T18:00:00+02:00;4704.467;97.4;1.0716;104.37
2025-06-29T19:00:00+02:00;5032.849;136.03;1.0586;144.008
2025-06-29T20:00:00+02:00;5411.441;144.13;1.0438;150.437
2025-06-29T21:00:00+02:00;5761.232;165.18;1.03;170.136
2025-06-29T22:00:00+02:00;6177.775;195.15;1.0136;197.808
2025-06-29T23:00:00+02:00;5840.995;170.32;1.0269;174.896
2025-06-30T00:00:00+02:00;5723.753;144.43;1.0315;148.976
2025-06-30T01:00:00+02:00;6200.659;134.08;1.0127;135.785
2025-06-30T02:00:00+02:00;6297.176;131.71;1.0089;132.885
2025-06-30T03:00:00+02:00;4797.22;130.32;1.0679;139.171
2025-06-30T04:00:00+02:00;3789.431;133.65;1.1075;148.024
2025-06-30T05:00:00+02:00;3431.383;132.96;1.1216;149.132
2025-06-30T06:00:00+02:00;2835.044;134.73;1.1451;154.277
2025-06-30T07:00:00+02:00;2666.564;140.11;1.1517;161.366
2025-06-30T08:00:00+02:00;2360.564;158.32;1.1637;184.244
2025-06-30T09:00:00+02:00;1788.22;152.18;1.1863;180.524
2025-06-30T10:00:00+02:00;1422.889;191.82;1.2;230.184
2025-06-30T11:00:00+02:00;1535.659;183.41;1.1962;219.393
2025-06-30T12:00:00+02:00;1627.517;182.36;1.1926;217.478
2025-06-30T13:00:00+02:00;1681.97;180.16;1.1904;214.468
2025-06-30T14:00:00+02:00;1870.901;115.01;1.183;136.057
2025-06-30T15:00:00+02:00;2309.907;125.26;1.1657;146.02
2025-06-30T16:00:00+02:00;2738.372;136.14;1.1489;156.409
2025-06-30T17:00:00+02:00;3632.107;143.09;1.1137;159.365
2025-06-30T18:00:00+02:00;4744.451;218.04;1.07;233.301
2025-06-30T19:00:00+02:00;5765.293;220.0;1.0298;226.565
2025-06-30T20:00:00+02:00;5818.323;247.75;1.0278;254.627
2025-06-30T21:00:00+02:00;5959.924;294.3;1.0222;300.83
2025-06-30T22:00:00+02:00;5003.664;207.34;1.0598;219.738
2025-06-30T23:00:00+02:00;3995.056;173.75;1.0995;191.032
2025-07-01T00:00:00+02:00;3479.883;152.93;1.1197;171.239
2025-07-01T01:00:00+02:00;2760.787;140.81;1.148;161.65
2025-07-01T02:00:00+02:00;2680.693;139.2;1.1512;160.241
2025-07-01T03:00:00+02:00;2254.111;135.4;1.1679;158.138
2025-07-01T04:00:00+02:00;2105.087;134.05;1.1738;157.347
2025-07-01T05:00:00+02:00;1981.58;135.05;1.1786;159.177
2025-07-01T06:00:00+02:00;1920.585;137.39;1.181;162.264
2025-07-01T07:00:00+02:00;1987.571;142.79;1.1784;168.266
2025-07-01T08:00:00+02:00;1951.398;160.38;1.1798;189.222
2025-07-01T09:00:00+02:00;1855.986;152.76;1.1836;180.805
2025-07-01T10:00:00+02:00;1904.284;206.87;1.1817;244.456
2025-07-01T11:00:00+02:00;1983.476;190.06;1.1786;224.0
2025-07-01T12:00:00+02:00;2163.882;188.77;1.1715;221.14
2025-07-01T13:00:00+02:00;2228.561;186.44;1.1689;217.936
2025-07-01T14:00:00+02:00;2412.764;121.3;1.1617;140.913
2025-07-01T15:00:00+02:00;2739.133;121.83;1.1489;139.965
2025-07-01T16:00:00+02:00;3432.064;134.12;1.1216;150.43
2025-07-01T17:00:00+02:00;3841.859;146.97;1.1055;162.473
2025-07-01T18:00:00+02:00;5385.574;221.95;1.0448;231.888
2025-07-01T19:00:00+02:00;6510.326;226.6;1.0005;226.722
