timestep,demand_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
39,34.2053,0.1753,47.6564,0.149005,6.0486,6.0486,0.0,0.901272,28.1567,0.14024,28.1567,21.659,6.4977,3.037458,6.4977,1.139051,5.07778,81.0,honest,honest
40,43.7542,0.18657,10.1302,0.158585,10.1302,10.1302,0.0,1.606498,32.6956,0.149256,32.6956,25.1505,7.5451,3.753863,8.4735,1.580906,6.941267,80.63,honest,honest
41,45.8826,0.1997,0.0,0.189715,0.0,0.0,0.0,0.0,28.7698,0.169745,28.7698,28.7698,0.0,4.88353,17.1128,3.417434,8.300963,62.7,honest,honest
42,45.8897,0.2744,0.0594,0.21952,0.0594,0.0457,0.0137,0.010032,26.9557,0.23324,26.9557,26.9557,0.0,6.287147,18.8883,5.182959,11.480139,58.84,honest,honest
43,38.5291,0.27724,3.7803,0.263378,3.3557,3.3557,0.0,0.883818,35.1734,0.235654,35.1734,35.1734,0.0,8.288752,0.0,1.2e-05,9.172582,100.0,honest,honest
44,38.4946,0.27806,0.9262,0.264157,0.0,0.0,0.0,0.0,38.6695,0.236351,38.4946,38.4946,0.0,9.098237,0.0,3e-06,9.09824,100.0,honest,honest
45,38.4128,0.27491,0.1595,0.233673,0.1595,0.1595,0.0,0.037271,42.8643,0.233673,38.2533,38.2533,0.0,8.938763,0.0,0.0,8.976034,100.0,honest,honest
46,38.2967,0.2038,2.9168,0.16304,2.9168,2.2437,0.6731,0.365813,49.5766,0.17323,35.3799,35.3799,0.0,6.12886,0.6731,0.137185,6.631858,98.24,honest,honest
47,39.1003,0.19099,0.2668,0.162341,0.2668,0.2668,0.0,0.043313,42.9296,0.18144,38.8335,38.8335,0.0,7.04595,0.0,6e-06,7.089268,100.0,honest,honest
48,22.3379,0.15455,0.0,0.146822,0.0,0.0,0.0,0.0,63.032,0.131367,22.3379,22.3379,0.0,2.934463,0.0,2e-06,2.934465,100.0,honest,honest
49,14.6422,0.14134,0.0,0.120139,0.0,0.0,0.0,0.0,65.5087,0.120139,14.6422,14.6422,0.0,1.759099,0.0,0.0,1.759099,100.0,honest,honest
