id;name;geoid;geoname;value;datetime
1159;Generación medida Eólica terrestre;;;7483.284;2025-06-25T21:00:00+02:00
1159;Generación medida Eólica terrestre;;;7303.195;2025-06-25T22:00:00+02:00
1159;Generación medida Eólica terrestre;;;7160.677;2025-06-25T23:00:00+02:00
1159;Generación medida Eólica terrestre;;;7257.402;2025-06-26T00:00:00+02:00
1159;Generación medida Eólica terrestre;;;7325.148;2025-06-26T01:00:00+02:00
1159;Generación medida Eólica terrestre;;;7179.668;2025-06-26T02:00:00+02:00
1159;Generación medida Eólica terrestre;;;7151.346;2025-06-26T03:00:00+02:00
1159;Generación medida Eólica terrestre;;;6800.341;2025-06-26T04:00:00+02:00
1159;Generación medida Eólica terrestre;;;6483.912;2025-06-26T05:00:00+02:00
1159;Generación medida Eólica terrestre;;;6299.921;2025-06-26T06:00:00+02:00
1159;Generación medida Eólica terrestre;;;5878.821;2025-06-26T07:00:00+02:00
1159;Generación medida Eólica terrestre;;;5093.126;2025-06-26T08:00:00+02:00
1159;Generación medida Eólica terrestre;;;4136.517;2025-06-26T09:00:00+02:00
1159;Generación medida Eólica terrestre;;;3719.803;2025-06-26T10:00:00+02:00
1159;Generación medida Eólica terrestre;;;3223.031;2025-06-26T11:00:00+02:00
1159;Generación medida Eólica terrestre;;;2642.501;2025-06-26T12:00:00+02:00
1159;Generación medida Eólica terrestre;;;2032.813;2025-06-26T13:00:00+02:00
1159;Generación medida Eólica terrestre;;;1628.984;2025-06-26T14:00:00+02:00
1159;Generación medida Eólica terrestre;;;1532.628;2025-06-26T15:00:00+02:00
1159;Generación medida Eólica terrestre;;;1628.536;2025-06-26T16:00:00+02:00
1159;Generación medida Eólica terrestre;;;1981.115;2025-06-26T17:00:00+02:00
1159;Generación medida Eólica terrestre;;;2584.485;2025-06-26T18:00:00+02:00
1159;Generación medida Eólica terrestre;;;3222.811;2025-06-26T19:00:00+02:00
1159;Generación medida Eólica terrestre;;;3834.332;2025-06-26T20:00:00+02:00
1159;Generación medida Eólica terrestre;;;4294.757;2025-06-26T21:00:00+02:00
1159;Generación medida Eólica terrestre;;;5141.917;2025-06-26T22:00:00+02:00
1159;Generación medida Eólica terrestre;;;5300.533;2025-06-26T23:00:00+02:00
1159;Generación medida Eólica terrestre;;;5006.147;2025-06-27T00:00:00+02:00
1159;Generación medida Eólica terrestre;;;4525.501;2025-06-27T01:00:00+02:00
1159;Generación medida Eólica terrestre;;;3985.753;2025-06-27T02:00:00+02:00
1159;Generación medida Eólica terrestre;;;3565.069;2025-06-27T03:00:00+02:00
1159;Generación medida Eólica terrestre;;;3103.407;2025-06-27T04:00:00+02:00
1159;Generación medida Eólica terrestre;;;2749.479;2025-06-27T05:00:00+02:00
1159;Generación medida Eólica terrestre;;;2443.111;2025-06-27T06:00:00+02:00
1159;Generación medida Eólica terrestre;;;2310.838;2025-06-27T07:00:00+02:00
1159;Generación medida Eólica terrestre;;;1956.955;2025-06-27T08:00:00+02:00
1159;Generación medida Eólica terrestre;;;1586.362;2025-06-27T09:00:00+02:00
1159;Generación medida Eólica terrestre;;;1365.125;2025-06-27T10:00:00+02:00
1159;Generación medida Eólica terrestre;;;1450.147;2025-06-27T11:00:00+02:00
1159;Generación medida Eólica terrestre;;;1512.591;2025-06-27T12:00:00+02:00
1159;Generación medida Eólica terrestre;;;1733.05;2025-06-27T13:00:00+02:00
1159;Generación medida Eólica terrestre;;;1822.591;2025-06-27T14:00:00+02:00
1159;Generación medida Eólica terrestre;;;2047.952;2025-06-27T15:00:00+02:00
1159;Generación medida Eólica terrestre;;;2400.433;2025-06-27T16:00:00+02:00
1159;Generación medida Eólica terrestre;;;2629.332;2025-06-27T17:00:00+02:00
1159;Generación medida Eólica terrestre;;;3005.971;2025-06-27T18:00:00+02:00
1159;Generación medida Eólica terrestre;;;3475.493;2025-06-27T19:00:00+02:00
1159;Generación medida Eólica terrestre;;;4059.132;2025-06-27T20:00:00+02:00
1159;Generación medida Eólica terrestre;;;4749.032;2025-06-27T21:00:00+02:00
1159;Generación medida Eólica terrestre;;;5462.527;2025-06-27T22:00:00+02:00
1159;Generación medida Eólica terrestre;;;6133.724;2025-06-27T23:00:00+02:00
1159;Generación medida Eólica terrestre;;;5956.653;2025-06-28T00:00:00+02:00
1159;Generación medida Eólica terrestre;;;6145.131;2025-06-28T01:00:00+02:00
1159;Generación medida Eólica terrestre;;;5841.542;2025-06-28T02:00:00+02:00
1159;Generación medida Eólica terrestre;;;4990.985;2025-06-28T03:00:00+02:00
1159;Generación medida Eólica terrestre;;;4069.764;2025-06-28T04:00:00+02:00
1159;Generación medida Eólica terrestre;;;3481.291;2025-06-28T05:00:00+02:00
1159;Generación medida Eólica terrestre;;;2879.887;2025-06-28T06:00:00+02:00
1159;Generación medida Eólica terrestre;;;2597.807;2025-06-28T07:00:00+02:00
1159;Generación medida Eólica terrestre;;;1991.14;2025-06-28T08:00:00+02:00
1159;Generación medida Eólica terrestre;;;1392.396;2025-06-28T09:00:00+02:00
1159;Generación medida Eólica terrestre;;;1233.99;2025-06-28T10:00:00+02:00
1159;Generación medida Eólica terrestre;;;1224.605;2025-06-28T11:00:00+02:00
1159;Generación medida Eólica terrestre;;;1470.387;2025-06-28T12:00:00+02:00
1159;Generación medida Eólica terrestre;;;1775.945;2025-06-28T13:00:00+02:00
1159;Generación medida Eólica terrestre;;;2018.966;2025-06-28T14:00:00+02:00
1159;Generación medida Eólica terrestre;;;2223.059;2025-06-28T15:00:00+02:00
1159;Generación medida Eólica terrestre;;;2586.027;2025-06-28T16:00:00+02:00
1159;Generación medida Eólica terrestre;;;2705.801;2025-06-28T17:00:00+02:00
1159;Generación medida Eólica terrestre;;;3209.309;2025-06-28T18:00:00+02:00
1159;Generación medida Eólica terrestre;;;3633.581;2025-06-28T19:00:00+02:00
1159;Generación medida Eólica terrestre;;;4462.217;2025-06-28T20:00:00+02:00
1159;Generación medida Eólica terrestre;;;5169.166;2025-06-28T21:00:00+02:00
1159;Generación medida Eólica terrestre;;;5715.177;2025-06-28T22:00:00+02:00
1159;Generación medida Eólica terrestre;;;5787.932;2025-06-28T23:00:00+02:00
1159;Generación medida Eólica terrestre;;;5894.357;2025-06-29T00:00:00+02:00
1159;Generación medida Eólica terrestre;;;5775.252;2025-06-29T01:00:00+02:00
1159;Generación medida Eólica terrestre;;;4986.291;2025-06-29T02:00:00+02:00
1159;Generación medida Eólica terrestre;;;4196.286;2025-06-29T03:00:00+02:00
1159;Generación medida Eólica terrestre;;;3403.187;2025-06-29T04:00:00+02:00
1159;Generación medida Eólica terrestre;;;2905.07;2025-06-29T05:00:00+02:00
1159;Generación medida Eólica terrestre;;;2503.638;2025-06-29T06:00:00+02:00
1159;Generación medida Eólica terrestre;;;2243.274;2025-06-29T07:00:00+02:00
1159;Generación medida Eólica terrestre;;;1798.771;2025-06-29T08:00:00+02:00
1159;Generación medida Eólica terrestre;;;1269.671;2025-06-29T09:00:00+02:00
1159;Generación medida Eólica terrestre;;;1077.756;2025-06-29T10:00:00+02:00
1159;Generación medida Eólica terrestre;;;1119.322;2025-06-29T11:00:00+02:00
1159;Generación medida Eólica terrestre;;;1464.024;2025-06-29T12:00:00+02:00
1159;Generación medida Eólica terrestre;;;1592.476;2025-06-29T13:00:00+02:00
1159;Generación medida Eólica terrestre;;;1768.303;2025-06-29T14:00:00+02:00
1159;Generación medida Eólica terrestre;;;2006.081;2025-06-29T15:00:00+02:00
1159;Generación medida Eólica terrestre;;;2780.064;2025-06-29T16:00:00+02:00
1159;Generación medida Eólica terrestre;;;3570.414;2025-06-29T17:00:00+02:00
1159;Generación medida Eólica terrestre;;;4704.467;2025-06-29T18:00:00+02:00
1159;Generación medida Eólica terrestre;;;5032.849;2025-06-29T19:00:00+02:00
1159;Generación medida Eólica terrestre;;;5411.441;2025-06-29T20:00:00+02:00
1159;Generación medida Eólica terrestre;;;5761.232;2025-06-29T21:00:00+02:00
1159;Generación medida Eólica terrestre;;;6177.775;2025-06-29T22:00:00+02:00
1159;Generación medida Eólica terrestre;;;5840.995;2025-06-29T23:00:00+02:00
1159;Generación medida Eólica terrestre;;;5723.753;2025-06-30T00:00:00+02:00
1159;Generación medida Eólica terrestre;;;6200.659;2025-06-30T01:00:00+02:00
1159;Generación medida Eólica terrestre;;;6297.176;2025-06-30T02:00:00+02:00
1159;Generación medida Eólica terrestre;;;4797.22;2025-06-30T03:00:00+02:00
1159;Generación medida Eólica terrestre;;;3789.431;2025-06-30T04:00:00+02:00
1159;Generación medida Eólica terrestre;;;3431.383;2025-06-30T05:00:00+02:00
1159;Generación medida Eólica terrestre;;;2835.044;2025-06-30T06:00:00+02:00
1159;Generación medida Eólica terrestre;;;2666.564;2025-06-30T07:00:00+02:00
1159;Generación medida Eólica terrestre;;;2360.564;2025-06-30T08:00:00+02:00
